row_type,service,major_group_code,major_group_name,afsc_code,afsc_family,skill_level_num,skill_level_name,skill_tier,afsc_title,shred_code,shred_title,aircraft_tags,authorized_without_shredouts,is_data_mask,page,effective_date,source_file,afsc_code_plain,search_key_plain,search_key,join_key_afsc_skill,join_key_afsc_skill_shred,text,id
base,USAF,,,1A100,1A1,00,Chief Enlisted Manager,cem,Career Enlisted Aviator,,,,false,false,1,2025-04-30,EnlClassStructue.pdf,1A100,1A100,1A100,1A100|00,1A100|00|,USAF  1A100 (Chief Enlisted Manager) : Career Enlisted Aviator,1a100:00:_:a1668a385b
shred,USAF,1A,AIRCREW OPERATIONS,1A100,1A1,00,Chief Enlisted Manager,cem,Career Enlisted Aviator,E,MC-130J Loadmaster,MC-130J,false,false,1,2025-04-30,EnlClassStructue.pdf,1A100,1A100/E,1A100/E,1A100|00,1A100|00|E,USAF 1A 1A100 (Chief Enlisted Manager) : Career Enlisted Aviator | Shred E: MC-130J Loadmaster,1a100:00:e:da311b970b
shred,USAF,1A,AIRCREW OPERATIONS,1A100,1A1,00,Chief Enlisted Manager,cem,Career Enlisted Aviator,F,HH-60 Flight Engineer,HH-60,false,false,1,2025-04-30,EnlClassStructue.pdf,1A100,1A100/F,1A100/F,1A100|00,1A100|00|F,USAF 1A 1A100 (Chief Enlisted Manager) : Career Enlisted Aviator | Shred F: HH-60 Flight Engineer,1a100:00:f:caf9c8e098
shred,USAF,1A,AIRCREW OPERATIONS,1A100,1A1,00,Chief Enlisted Manager,cem,Career Enlisted Aviator,G,MH-139 Flight Engineer,MH-139,false,false,1,2025-04-30,EnlClassStructue.pdf,1A100,1A100/G,1A100/G,1A100|00,1A100|00|G,USAF 1A 1A100 (Chief Enlisted Manager) : Career Enlisted Aviator | Shred G: MH-139 Flight Engineer,1a100:00:g:067ee6595e
shred,USAF,1A,AIRCREW OPERATIONS,1A100,1A1,00,Chief Enlisted Manager,cem,Career Enlisted Aviator,H,C-146 Loadmaster,C-146,false,false,1,2025-04-30,EnlClassStructue.pdf,1A100,1A100/H,1A100/H,1A100|00,1A100|00|H,USAF 1A 1A100 (Chief Enlisted Manager) : Career Enlisted Aviator | Shred H: C-146 Loadmaster,1a100:00:h:6904754323
shred,USAF,1A,AIRCREW OPERATIONS,1A100,1A1,00,Chief Enlisted Manager,cem,Career Enlisted Aviator,J,KC-10 Flight Engineer,KC-10,false,false,1,2025-04-30,EnlClassStructue.pdf,1A100,1A100/J,1A100/J,1A100|00,1A100|00|J,USAF 1A 1A100 (Chief Enlisted Manager) : Career Enlisted Aviator | Shred J: KC-10 Flight Engineer,1a100:00:j:313326f969
shred,USAF,1A,AIRCREW OPERATIONS,1A100,1A1,00,Chief Enlisted Manager,cem,Career Enlisted Aviator,K,E-8 Flight Engineer,E-8,false,false,1,2025-04-30,EnlClassStructue.pdf,1A100,1A100/K,1A100/K,1A100|00,1A100|00|K,USAF 1A 1A100 (Chief Enlisted Manager) : Career Enlisted Aviator | Shred K: E-8 Flight Engineer,1a100:00:k:311f5cccb7
shred,USAF,1A,AIRCREW OPERATIONS,1A100,1A1,00,Chief Enlisted Manager,cem,Career Enlisted Aviator,L,Communications Systems,,false,false,1,2025-04-30,EnlClassStructue.pdf,1A100,1A100/L,1A100/L,1A100|00,1A100|00|L,USAF 1A 1A100 (Chief Enlisted Manager) : Career Enlisted Aviator | Shred L: Communications Systems,1a100:00:l:864aae682a
shred,USAF,1A,AIRCREW OPERATIONS,1A100,1A1,00,Chief Enlisted Manager,cem,Career Enlisted Aviator,N,C-130H Loadmaster,C-130H,false,false,1,2025-04-30,EnlClassStructue.pdf,1A100,1A100/N,1A100/N,1A100|00,1A100|00|N,USAF 1A 1A100 (Chief Enlisted Manager) : Career Enlisted Aviator | Shred N: C-130H Loadmaster,1a100:00:n:e6d26feabe
shred,USAF,1A,AIRCREW OPERATIONS,1A100,1A1,00,Chief Enlisted Manager,cem,Career Enlisted Aviator,O,EC-130H Flight Engineer,EC-130H,false,false,1,2025-04-30,EnlClassStructue.pdf,1A100,1A100/O,1A100/O,1A100|00,1A100|00|O,USAF 1A 1A100 (Chief Enlisted Manager) : Career Enlisted Aviator | Shred O: EC-130H Flight Engineer,1a100:00:o:422652a3b1
